Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
1170	-123.633	0	-123.633	35.5755	35.5755	0.0607534	5.51196	0.795662	0.937838	1.04613	1.22037	3.61548	0.164836	0.617463	0.101603	0.116098	59.141	5.57272	5.51196
1180	-130.592	0	-130.592	62.2267	62.2267	0.0607534	5.94826	0.843778	0.95438	1.03644	1.1654	4.20537	0.0346395	0.596287	0.0173085	0.351765	59.8183	6.00901	5.94826
1190	-132.136	0	-132.136	31.5338	31.5338	0.0607534	4.8077	0.783592	0.933486	1.04843	1.2345	3.23632	0.229353	0.726978	0.0250758	0.0185932	59.4995	4.86846	4.8077
1200	-134.164	0	-134.164	36.8005	36.8005	0.0356513	4.68088	0.798936	0.939004	1.04549	1.21657	5.94633	0.158218	0.743244	0.09581	0.00272874	59.1699	4.71653	4.68088
1210	-130.627	0	-130.627	41.0231	41.0231	0.0366164	3.84498	0.809108	0.942588	1.0435	1.2048	2.91782	0.309263	0.256046	0.299037	0.135654	58.2796	3.8816	3.84498
1220	-125.332	0	-125.332	9.09012	9.09012	0.0816183	2.51876	0.615426	0.863353	1.07423	1.44699	0.35647	0.391611	0.309445	0.192603	0.10634	58.9487	2.60037	2.51876
1230	-128.23	0	-128.23	4.23484	4.23484	0.0244949	1.88137	0.466816	0.782958	1.0843	1.66593	0.714288	0.276755	0.382306	0.0984463	0.242493	57.9956	1.90587	1.88137
1240	-141.771	0	-141.771	5.54591	5.54591	0.0818286	2.27537	0.523284	0.815967	1.08224	1.57851	0.0797913	0.48202	0.0281101	0.38584	0.10403	57.257	2.35719	2.27537
1250	-132.421	0	-132.421	18.478	18.478	0.0902891	2.78116	0.721723	0.909833	1.05934	1.3091	0.0963777	0.0187795	0.0452638	0.431103	0.504854	56.8176	2.87145	2.78116
1260	-126.602	0	-126.602	38.6367	38.6367	0.0836324	2.8783	0.803557	0.940639	1.04459	1.21121	0.32629	0.027019	0.0716211	0.74473	0.15663	56.5641	2.96193	2.8783
1270	-117.557	0	-117.557	29.3833	29.3833	0.0836324	3.01036	0.776216	0.930786	1.0498	1.24319	0.474329	0.0356102	0.411659	0.488517	0.0642137	56.0211	3.09399	3.01036
1280	-132.385	0	-132.385	23.0006	23.0006	0.0507243	2.96281	0.7488	0.92047	1.05475	1.27598	0.100353	0.367249	0.00515156	0.626494	0.00110558	56.1358	3.01353	2.96281
1290	-124.45	0	-124.45	58.7148	58.7148	0.0861648	2.09795	0.839333	0.952904	1.03737	1.17039	0.144601	0.668511	0.00133406	0.328765	0.00139038	54.5307	2.18412	2.09795
1300	-136.69	0	-136.69	80.6938	80.6938	0.0320245	2.42098	0.862258	0.960404	1.03252	1.14482	0.440735	0.6318	0.0052279	0.362035	0.000937846	53.8769	2.45301	2.42098
1310	-133.51	0	-133.51	19.641	19.641	0.0320245	3.15137	0.729526	0.912945	1.05805	1.29948	0.556085	0.0296603	0.962675	0.00765222	1.24159e-05	52.3927	3.18339	3.15137
