Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
900	-13299.1	-13124.3	-174.785	0.262975	0.262975	0.0651021	0.0968545	0.0027724	0.0762072	0.528061	3.39296	14.4786	0.334459	0.375708	0.0631333	0.226701	88.2331	0.161957	0.0968545
910	-13303.2	-13130.3	-172.907	0.288395	0.288395	0.0553013	0.123894	0.00440124	0.095503	0.575788	3.32431	13.7665	0.331537	0.371914	0.0643561	0.232194	89.1485	0.179195	0.123894
920	-13309.7	-13134.9	-174.806	0.278295	0.278295	0.0339939	0.228522	0.00370019	0.0877559	0.557487	3.35106	13.5936	0.340561	0.359357	0.0672796	0.232803	92.082	0.262516	0.228522
930	-13301	-13126.7	-174.308	0.263886	0.263886	0.0460705	0.204859	0.00282303	0.0768853	0.529868	3.39042	15.657	0.363385	0.347801	0.0677927	0.221021	86.9526	0.250929	0.204859
940	-13311	-13137.9	-173.076	0.232546	0.232546	0.0544724	0.0862871	0.00139561	0.0544073	0.463204	3.48099	14.9798	0.354238	0.355696	0.0576818	0.232385	86.6986	0.14076	0.0862871
950	-13305.5	-13129.7	-175.823	0.250126	0.250126	0.0477081	0.0416388	0.00211764	0.0667811	0.501752	3.42935	14.4301	0.349445	0.367075	0.0603074	0.223172	87.1693	0.0893468	0.0416388
960	-13303.9	-13130	-173.905	0.272317	0.272317	0.0447425	0.250428	0.00331884	0.0832161	0.546249	3.36722	14.8829	0.351389	0.362758	0.0595981	0.226254	92.947	0.295171	0.250428
970	-13309.6	-13135.8	-173.803	0.2708	0.2708	0.0388075	0.210691	0.00322599	0.0820701	0.543347	3.37136	14.6806	0.350451	0.36284	0.0630083	0.223701	87.453	0.249498	0.210691
980	-13297.7	-13122.9	-174.777	0.26616	0.26616	0.0443273	0.154764	0.00295195	0.0785837	0.534349	3.38412	15.2522	0.351885	0.366223	0.0612334	0.220658	92.7558	0.199092	0.154764
990	-13306.9	-13131.9	-175.054	0.255925	0.255925	0.0490482	0.095293	0.00239945	0.0710007	0.513814	3.41279	16.0986	0.357241	0.366166	0.0620469	0.214546	93.7747	0.144341	0.095293
